ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-18,15:00,13.625,13.625,13.625,13.625,229,2
"AT00000FACC2","1FC","FACC AG INH.AKT.","Common stock","EUR",2504163,2017-07-18,15:00,9.45,9.45,9.45,9.45,10,1
"CA32076V1031","FMV","FIRST MAJESTIC SILVER","Common stock","EUR",2504197,2017-07-18,15:00,7,7,7,7,128,1
"DE000A0X9AA8","DES2","ETFS DAX DLY2XSH.GO UC.DZ","ETF","EUR",2504257,2017-07-18,15:00,4.985,4.985,4.985,4.985,5000,1
"LU0274211480","DBXD","DB X-TRACK.DAX ETF(DR)1C","ETF","EUR",2504269,2017-07-18,15:00,120.87,120.88,120.87,120.88,1250,2
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-18,15:00,11.57,11.57,11.57,11.57,136,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-18,15:00,129.8,129.8,129.8,129.8,62,2
"DE000A0F5UF5","EXXT","ISHARES NASDAQ-100 U.ETF","ETF","EUR",2504303,2017-07-18,15:00,49.216,49.216,49.216,49.216,200,1
"DE000A0HGQF5","MF6","MAGFORCE AG","Common stock","EUR",2504308,2017-07-18,15:00,7.272,7.272,7.272,7.272,16,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-18,15:00,33.24,33.245,33.24,33.245,926,4
"DE000A0H08S0","EXV9","ISH.S.EU.600 T+L U.ETF A.","ETF","EUR",2504335,2017-07-18,15:00,24.07,24.07,24.07,24.07,86,1
"DE000A0JBPG2","PNE3","PNE WIND AG NA O.N.","Common stock","EUR",2504337,2017-07-18,15:00,2.663,2.663,2.657,2.657,1145,2
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-18,15:00,71.15,71.15,71.15,71.15,64,1
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2017-07-18,15:00,7.608,7.653,7.608,7.653,4013,9
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-18,15:00,7.491,7.499,7.49,7.499,7488,6
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-18,15:00,28.46,28.46,28.46,28.46,167,2
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-18,15:00,48.92,48.94,48.91,48.94,859,9
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-18,15:00,180.3,180.3,180.3,180.3,339,5
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-18,15:00,53.44,53.44,53.38,53.41,1425,18
