ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000A0KRJ85","OD7R","ETFS COM.SEC.DZ06/UN.SUGA","ETC","EUR",2504367,2017-06-27,15:00,7.38,7.38,7.38,7.38,2292,1
"DE000A0KRJ93","OD7S","ETFS COM.SEC.DZ06/UN.WEAT","ETC","EUR",2504368,2017-06-27,15:01,0.641,0.641,0.641,0.641,66555,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:03,35.56,35.58,35.56,35.58,240,2
"DE000A0KRJX4","OD7F","ETFS COM.SEC.DZ06/UN.WTI","ETC","EUR",2506274,2017-06-27,15:03,5.745,5.745,5.745,5.745,888,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:04,35.56,35.56,35.54,35.54,3420,16
"DE000A0V9YT0","4RT2","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504420,2017-06-27,15:05,1.779,1.779,1.779,1.779,1306,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:05,35.57,35.57,35.57,35.57,53,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-27,15:05,91.32,91.32,91.32,91.32,220,1
"DE000ETC0340","X0D4","COMMERZBANK ETC UNL.","ETC","EUR",2506318,2017-06-27,15:05,60,60,60,60,215,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:07,35.53,35.53,35.53,35.53,100,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-27,15:08,108.38,108.38,108.38,108.38,22,1
"DE000A0KRJX4","OD7F","ETFS COM.SEC.DZ06/UN.WTI","ETC","EUR",2506274,2017-06-27,15:09,5.745,5.745,5.745,5.745,800,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:10,35.54,35.54,35.54,35.54,100,1
"DE000A1NZLM8","00XM","ETFS H.COM.SEC.Z12/UN.IDX","ETC","EUR",2506291,2017-06-27,15:12,2.146,2.146,2.146,2.146,4600,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-27,15:13,108.22,108.22,108.22,108.22,40,1
"DE000A0V9Y81","4RUH","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504425,2017-06-27,15:14,3.069,3.069,3.069,3.069,5000,1
"DE000A0KRJ44","OD7M","ETFS COM.SEC.DZ06/UN.NICK","ETC","EUR",2504364,2017-06-27,15:16,8.1,8.1,8.1,8.1,250,1
"DE000A2BDEC4","4RUD","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504634,2017-06-27,15:16,37,37,37,37,30,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:16,35.52,35.52,35.51,35.51,1726,2
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-27,15:16,91.27,91.27,91.27,91.27,275,1
"DE000A0KRJ44","OD7M","ETFS COM.SEC.DZ06/UN.NICK","ETC","EUR",2504364,2017-06-27,15:18,8.125,8.125,8.125,8.125,200,1
"DE000A1AQGX1","XETC","DB ETC IDX BRENT BST E 60","ETC","EUR",2506288,2017-06-27,15:19,41.8,41.8,41.79,41.79,579,2
"DE000A1N49P6","OOEA","ETFS COM.SEC.Z12/UN.INDEX","ETC","EUR",2506294,2017-06-27,15:19,17.15,17.15,17.15,17.15,147,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:20,35.52,35.52,35.52,35.52,220,1
"DE000A0KRKM5","OESA","ETFS OIL SEC DZ06/UN.OILB","ETC","EUR",2506280,2017-06-27,15:20,17.56,17.56,17.56,17.56,500,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-27,15:21,108.3,108.3,108.3,108.3,465,1
"DE000A0KRKM5","OESA","ETFS OIL SEC DZ06/UN.OILB","ETC","EUR",2506280,2017-06-27,15:21,17.56,17.56,17.56,17.56,720,1
"DE000ETC0290","X0D1","COMMERZBANK ETC UNL.","ETC","EUR",2506313,2017-06-27,15:21,0.82,0.82,0.81,0.81,31000,2
"DE000ETC0217","X0CM","COMMERZBANK ETC UNL.","ETC","EUR",2506235,2017-06-27,15:22,2.12,2.12,2.12,2.12,320,1
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-27,15:24,13.98,13.98,13.98,13.98,2000,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:24,35.51,35.51,35.5,35.5,20732,5
"DE000ETC0308","X0D2","COMMERZBANK ETC UNL.","ETC","EUR",2506314,2017-06-27,15:24,0.076,0.076,0.076,0.076,2600,1
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-27,15:25,13.98,13.98,13.97,13.97,14650,2
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:25,35.51,35.51,35.51,35.51,4792,3
"DE000A0V9Y57","4RUE","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2506206,2017-06-27,15:25,5.8,5.8,5.8,5.8,255,2
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-27,15:27,35.52,35.52,35.52,35.52,100,1
