ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:01,35.69,35.69,35.69,35.69,50,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:02,35.68,35.68,35.68,35.68,5000,2
"DE000A0V9Y81","4RUH","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504425,2017-06-26,12:03,3.16,3.16,3.16,3.16,400,1
"DE000A0V9YZ7","4RT8","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2506205,2017-06-26,12:03,34.85,34.85,34.85,34.85,20,1
"DE000A1AQGX1","XETC","DB ETC IDX BRENT BST E 60","ETC","EUR",2506288,2017-06-26,12:06,40.11,40.11,40.11,40.11,1000,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:10,35.69,35.69,35.69,35.69,300,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:11,35.69,35.69,35.69,35.69,300,1
"DE000A0KRJU0","OD7C","ETFS COM.SEC.DZ06/UN.COPA","ETC","EUR",2504359,2017-06-26,12:12,22.62,22.62,22.62,22.62,940,1
"DE000A0N62G0","VZLD","ETFS MET.SEC.DZ07/UN.XAU","ETC","EUR",2506200,2017-06-26,12:12,106.66,106.66,106.66,106.66,143,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:12,35.69,35.69,35.69,35.69,3000,1
"DE000A0KRJT2","OD7B","ETFS COM.SEC.DZ06/UN.COFF","ETC","EUR",2504358,2017-06-26,12:13,1.073,1.073,1.073,1.073,18000,1
"DE000A0V9YT0","4RT2","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504420,2017-06-26,12:13,1.779,1.779,1.779,1.779,3500,1
"DE000ETC0142","X0CJ","COMMERZBANK ETC UNL.","ETC","EUR",2506228,2017-06-26,12:13,6.93,6.93,6.93,6.93,1916,1
"DE000ETC0225","X0CN","COMMERZBANK ETC UNL.","ETC","EUR",2506236,2017-06-26,12:13,0.25,0.25,0.25,0.25,10000,1
"DE000A0V9Y81","4RUH","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504425,2017-06-26,12:14,3.16,3.16,3.16,3.16,4050,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:14,35.67,35.67,35.67,35.67,3730,2
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-26,12:15,14.04,14.04,14.03,14.04,1030,2
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:15,35.65,35.65,35.65,35.65,1540,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-26,12:15,108.78,108.78,108.78,108.78,36,1
"DE000A0KRJ85","OD7R","ETFS COM.SEC.DZ06/UN.SUGA","ETC","EUR",2504367,2017-06-26,12:16,7.48,7.48,7.48,7.48,1500,1
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-26,12:16,14.03,14.03,14.03,14.03,500,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:17,35.63,35.63,35.63,35.63,800,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:18,35.64,35.64,35.64,35.64,60,1
"DE000A0KRJ51","OD7N","ETFS COM.SEC.DZ06/UN.SLVR","ETC","EUR",2506194,2017-06-26,12:19,14.73,14.73,14.73,14.73,2000,1
"DE000A0N62G0","VZLD","ETFS MET.SEC.DZ07/UN.XAU","ETC","EUR",2506200,2017-06-26,12:19,106.45,106.45,106.45,106.45,70,1
"DE000A0N62D7","VZLA","ETFS MET.SEC.DZ07/UN.XPT","ETC","EUR",2506197,2017-06-26,12:20,77.7,77.7,77.31,77.31,114,2
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-26,12:20,14.02,14.02,14.02,14.02,300,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:20,35.61,35.61,35.6,35.6,18750,4
"DE000ETC0142","X0CJ","COMMERZBANK ETC UNL.","ETC","EUR",2506228,2017-06-26,12:20,6.85,6.85,6.85,6.85,800,1
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-26,12:21,14.01,14.01,14.01,14.01,600,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:23,35.6,35.61,35.6,35.61,1357,2
"DE000A1RX996","GBSE","ETFS H.MET.SEC.Z12/UN.XAU","ETC","EUR",2506219,2017-06-26,12:23,8.55,8.55,8.55,8.55,15000,1
"DE000A0N62D7","VZLA","ETFS MET.SEC.DZ07/UN.XPT","ETC","EUR",2506197,2017-06-26,12:24,77.8,77.8,77.8,77.8,200,1
"DE000A0KRJT2","OD7B","ETFS COM.SEC.DZ06/UN.COFF","ETC","EUR",2504358,2017-06-26,12:26,1.071,1.071,1.071,1.071,485,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:26,35.61,35.62,35.61,35.62,1251,2
"DE000A1E0HS6","XAD6","DB ETC PLC P SLVR EUR 60","ETC","EUR",2506214,2017-06-26,12:26,143,143,143,143,100,1
"DE000A1RX996","GBSE","ETFS H.MET.SEC.Z12/UN.XAU","ETC","EUR",2506219,2017-06-26,12:26,8.58,8.58,8.58,8.58,979,1
"DE000ETC0118","X001","COMMERZBANK ETC UNL.","ETC","EUR",2506225,2017-06-26,12:26,57.01,57.01,57.01,57.01,200,1
"DE000A0N62D7","VZLA","ETFS MET.SEC.DZ07/UN.XPT","ETC","EUR",2506197,2017-06-26,12:27,77.8,77.8,77.8,77.8,50,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:28,35.61,35.61,35.61,35.61,1000,1
"DE000A0LP781","GG9B","GOLD BULL.SECS 04/UND DZ","ETC","EUR",2506196,2017-06-26,12:29,104.9,104.9,104.9,104.9,5,1
"DE000A0V9YT0","4RT2","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504420,2017-06-26,12:30,1.76,1.76,1.76,1.76,1703,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-26,12:30,108.55,108.55,108.55,108.55,37,1
"DE000A0KRJ51","OD7N","ETFS COM.SEC.DZ06/UN.SLVR","ETC","EUR",2506194,2017-06-26,12:32,14.79,14.79,14.79,14.79,500,1
"DE000A0LP781","GG9B","GOLD BULL.SECS 04/UND DZ","ETC","EUR",2506196,2017-06-26,12:33,105.04,105.04,105.04,105.04,5,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-26,12:33,90.94,91.26,90.94,90.94,2845,4
"DE000A0LP781","GG9B","GOLD BULL.SECS 04/UND DZ","ETC","EUR",2506196,2017-06-26,12:35,104.99,104.99,104.99,104.99,10,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-26,12:40,108.56,108.56,108.56,108.56,260,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-26,12:41,108.58,108.58,108.58,108.58,7,1
"DE000A0KRJT2","OD7B","ETFS COM.SEC.DZ06/UN.COFF","ETC","EUR",2504358,2017-06-26,12:42,1.068,1.068,1.068,1.068,1206,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:42,35.62,35.62,35.61,35.62,100,2
"DE000A0KRJ36","OD7L","ETFS COM.SEC.DZ06/UN.NGAS","ETC","EUR",2506277,2017-06-26,12:44,0.036,0.036,0.036,0.036,36555,1
"DE000A0KRJ44","OD7M","ETFS COM.SEC.DZ06/UN.NICK","ETC","EUR",2504364,2017-06-26,12:45,8.095,8.095,8.095,8.095,127,1
"DE000A1RX996","GBSE","ETFS H.MET.SEC.Z12/UN.XAU","ETC","EUR",2506219,2017-06-26,12:45,8.545,8.545,8.545,8.545,2000,1
"DE000A0N62D7","VZLA","ETFS MET.SEC.DZ07/UN.XPT","ETC","EUR",2506197,2017-06-26,12:47,78.67,78.67,78.67,78.67,13,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:48,35.65,35.65,35.65,35.65,200,1
"DE000A0KRJ85","OD7R","ETFS COM.SEC.DZ06/UN.SUGA","ETC","EUR",2504367,2017-06-26,12:49,7.48,7.48,7.48,7.48,194,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:50,35.66,35.66,35.66,35.66,180,1
"DE000A0KRJ93","OD7S","ETFS COM.SEC.DZ06/UN.WEAT","ETC","EUR",2504368,2017-06-26,12:51,0.649,0.649,0.649,0.649,1410,1
"DE000A0N62F2","VZLC","ETFS MET.SEC.DZ07/UN.XAG","ETC","EUR",2506199,2017-06-26,12:52,14.11,14.11,14.11,14.11,81,1
"DE000A1EK0J7","XAD2","DB ETC PLC P SLVR EUR H60","ETC","EUR",2506211,2017-06-26,12:52,116.95,116.95,116.95,116.95,15,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:53,35.67,35.67,35.67,35.67,56,1
"DE000ETC0142","X0CJ","COMMERZBANK ETC UNL.","ETC","EUR",2506228,2017-06-26,12:57,6.98,6.98,6.98,6.98,100,1
"DE000A0N62G0","VZLD","ETFS MET.SEC.DZ07/UN.XAU","ETC","EUR",2506200,2017-06-26,12:58,106.62,106.62,106.62,106.62,104,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-26,12:58,35.67,35.67,35.67,35.67,5600,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-26,12:58,108.5,108.5,108.5,108.5,350,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-26,12:59,91.23,91.23,91.23,91.23,80,1
