ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2017-07-14,12:00,110.04,110.04,110.04,110.04,100,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2017-07-14,12:00,71.72,71.72,71.72,71.72,87,2
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2017-07-14,12:00,29.35,29.48,29.35,29.42,1936,13
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-14,12:00,130.95,130.95,130.95,130.95,33,2
"DE000A0ETBQ4","MBB","MBB SE O.N.","Common stock","EUR",2504301,2017-07-14,12:00,98,98,98,98,50,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-14,12:00,33.48,33.485,33.48,33.485,225,3
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-14,12:00,70.77,70.81,70.77,70.81,709,12
"DE000A0MSN11","M7U","M-U-T AG MESSGER.INH.O.N.","Common stock","EUR",2504387,2017-07-14,12:00,15.8,15.8,15.8,15.8,1000,1
"DE000A0Q4R28","EXV5","ISH.S.EU.600 A+P U.ETF A.","ETF","EUR",2504393,2017-07-14,12:00,54.64,54.64,54.64,54.64,10000,3
"DE000A0S8488","HHFA","HAMBURG.HAFEN U.LOG.A-SP","Common stock","EUR",2504409,2017-07-14,12:00,20.9,20.9,20.885,20.885,110,3
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-14,12:00,7.195,7.195,7.195,7.195,615,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-14,12:00,180.2,180.2,180.2,180.2,1214,21
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-14,12:00,53.1,53.2,53.1,53.2,510,13
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-14,12:00,4.487,4.487,4.487,4.487,904,2
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-14,12:00,34.74,34.74,34.74,34.74,104,1
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-07-14,12:00,62.83,62.83,62.83,62.83,60,1
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-14,12:00,18.015,18.015,18.015,18.015,325,1
"DE000A13SX22","HLE","HELLA KGAA HUECK+CO. O.N.","Common stock","EUR",2504580,2017-07-14,12:00,44.71,44.71,44.71,44.71,19,1
"DE000A14KL72","VSC","4SC AG","Common stock","EUR",2504585,2017-07-14,12:00,4.37,4.37,4.37,4.37,280,1
"DE000A161N30","GLJ","GRENKE AG NA O.N.","Common stock","EUR",2504606,2017-07-14,12:00,73.9,73.9,73.9,73.9,15,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-14,12:00,35.79,35.81,35.79,35.81,1156,7
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-14,12:00,83.26,83.32,83.26,83.32,3432,11
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-14,12:00,113.4,113.45,113.4,113.45,327,4
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-14,12:00,11.19,11.19,11.19,11.19,3890,2
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-14,12:00,8.556,8.561,8.556,8.561,12767,13
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-14,12:00,29.135,29.135,29.135,29.135,113,2
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-14,12:00,24.205,24.205,24.2,24.205,1500,2
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2017-07-14,12:00,71.61,71.61,71.61,71.61,100,1
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.","Common stock","EUR",2504814,2017-07-14,12:00,81.46,81.46,81.46,81.46,194,3
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-14,12:00,53.38,53.38,53.38,53.38,262,1
