ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0012005267","NOT","NOVARTIS NAM.     SF 0,50","Common stock","EUR",2504217,2017-07-26,12:00,72.69,72.69,72.69,72.69,177,1
"DE0002635273","EXSB","ISHARES DIVDAX UCITS ETF","ETF","EUR",2504264,2017-07-26,12:00,17.11,17.11,17.11,17.11,115,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-26,12:00,12.365,12.365,12.365,12.365,100,1
"DE000A0D8Q07","EXSI","ISHARES EURO STOXX U.ETF","ETF","EUR",2504292,2017-07-26,12:00,38.03,38.03,38.03,38.03,2650,1
"DE000A0F5UG3","EXXV","IS.DJ EUROZ.SUST.SC.U.ETF","ETF","EUR",2504304,2017-07-26,12:00,12.915,12.915,12.915,12.915,1126,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-26,12:00,33.765,33.765,33.765,33.765,61,1
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON","Common stock","EUR",2504343,2017-07-26,12:00,9.8,9.8,9.785,9.785,357,4
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-26,12:00,7.928,7.928,7.903,7.923,17467,24
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-26,12:00,28.905,28.905,28.9,28.9,236,3
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-26,12:00,48.1,48.1,48.095,48.095,118,2
"DE000A1EMG56","WIG1","WIGE MEDIA AG","Common stock","EUR",2504468,2017-07-26,12:00,3.385,3.385,3.38,3.385,2000,3
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-26,12:00,177.55,177.55,177.55,177.55,154,2
"DE000A1RFM03","LIO1","SYGNIS AG","Common stock","EUR",2504515,2017-07-26,12:00,1.711,1.711,1.7,1.7,16817,5
"DE000A1TNUT7","DBAN","DT.BETEILIG.AG   NA O.N.","Common stock","EUR",2504519,2017-07-26,12:00,39.47,39.47,39.47,39.47,84,1
"DE000A1X3XX4","DIC","DIC ASSET AG NA O.N.","Common stock","EUR",2504532,2017-07-26,12:00,9.13,9.13,9.13,9.13,225,2
"DE000A12UKK6","RKET","ROCKET INTERNET SE","Common stock","EUR",2504560,2017-07-26,12:00,17.63,17.63,17.63,17.63,348,1
"DE000A12UPJ7","PAL","PANTALEON ENTERTAIN.AG","Common stock","EUR",2504564,2017-07-26,12:00,128.9,128.9,128.9,128.9,1,1
"DE000A12UP29","L1OA","LLOYD FONDS AG","Common stock","EUR",2504565,2017-07-26,12:00,3.123,3.123,3.123,3.123,30,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-26,12:00,35.765,35.765,35.765,35.765,52,1
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-26,12:00,81,81,80.98,80.98,659,7
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-26,12:00,10.855,10.855,10.855,10.855,847,2
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-26,12:00,8.41,8.413,8.41,8.413,5376,6
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-26,12:00,29.09,29.09,29.08,29.08,570,4
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2017-07-26,12:00,34.635,34.635,34.635,34.635,34,1
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.","Common stock","EUR",2504810,2017-07-26,12:00,9.58,9.58,9.58,9.58,1000,1
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2017-07-26,12:00,72.36,72.36,72.19,72.3,2084,36
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2017-07-26,12:00,69.04,69.04,69.04,69.04,59,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-26,12:00,50.28,50.31,50.28,50.31,485,6
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2017-07-26,12:00,12.25,12.25,12.235,12.235,1001,3
"DE000STRA555","SBS","STRATEC BIOMEDICAL  NA ON","Common stock","EUR",2504851,2017-07-26,12:00,51.45,51.45,51.45,51.45,8,1
"DE000WACK012","WAC","WACKER NEUSON SE NA O.N.","Common stock","EUR",2504858,2017-07-26,12:00,23.03,23.04,23.03,23.03,112,3
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-26,12:00,86.79,86.8,86.53,86.61,1152,20
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.","Common stock","EUR",2504860,2017-07-26,12:00,102.75,102.85,102.75,102.85,500,7
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2017-07-26,12:00,37.66,37.66,37.66,37.66,65,1
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2017-07-26,12:00,51.71,51.72,51.71,51.72,467,3
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-26,12:00,16.41,16.415,16.405,16.41,11905,9
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-26,12:00,79.12,79.12,79.09,79.1,4327,32
"DE0005190037","BMW3","BAY.MOTOREN WERKE  VZO","Common stock","EUR",2504901,2017-07-26,12:00,68.54,68.54,68.51,68.51,225,5
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2017-07-26,12:00,44.975,44.975,44.975,44.975,140,2
"DE0005403901","CWC","CEWE STIFT.KGAA  O.N.","Common stock","EUR",2504924,2017-07-26,12:00,74.74,74.74,74.74,74.74,39,2
"DE0005408884","LEO","LEONI AG NA O.N.","Common stock","EUR",2504929,2017-07-26,12:00,49.625,49.7,49.565,49.7,1089,15
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-26,12:00,194.5,194.5,194.5,194.5,22,1
"DE0005470405","LXS","LANXESS AG","Common stock","EUR",2504935,2017-07-26,12:00,66.31,66.31,66.31,66.31,46,2
"DE0005501357","SPR","A.SPRINGER SE VNA","Common stock","EUR",2504947,2017-07-26,12:00,53.14,53.14,53.13,53.13,269,4
