ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CA3809564097","GO5","GOLDCORP INC.","Common stock","EUR",2504198,2017-07-12,11:00,11.28,11.28,11.28,11.28,2000,1
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2017-07-12,11:00,218.35,218.35,218.35,218.35,12,1
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2017-07-12,11:00,108.75,108.75,108.75,108.75,27,2
"DE000A0D8Q07","EXSI","ISHARES EURO STOXX U.ETF","ETF","EUR",2504292,2017-07-12,11:00,38.04,38.04,38.04,38.04,841,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-12,11:00,130.65,130.65,130.65,130.65,27,2
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-12,11:00,32.96,32.96,32.95,32.95,218,4
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON","Common stock","EUR",2504343,2017-07-12,11:00,9.626,9.659,9.626,9.626,479,6
"DE000A0Z23Q5","ADN1","ADESSO AG  O.N.","Common stock","EUR",2504440,2017-07-12,11:00,53.79,53.79,53.79,53.79,10,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-12,11:00,50.2,50.2,50.19,50.19,404,3
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-12,11:00,47.565,47.605,47.545,47.605,1018,14
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.","Common stock","EUR",2504547,2017-07-12,11:00,5.996,5.996,5.865,5.865,14645,23
"DE000A13SX22","HLE","HELLA KGAA HUECK+CO. O.N.","Common stock","EUR",2504580,2017-07-12,11:00,45.245,45.25,45.195,45.195,1770,21
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-12,11:00,35.67,35.67,35.645,35.645,329,6
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-12,11:00,28.755,28.76,28.755,28.76,394,2
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.","Common stock","EUR",2504810,2017-07-12,11:00,9.885,9.885,9.884,9.884,1096,6
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-12,11:00,23.69,23.7,23.69,23.7,1535,6
