ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000743059","OMV","OMV AG","Common stock","EUR",2504175,2017-07-05,10:00,45.195,45.195,45.195,45.195,164,1
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2017-07-05,10:00,222.2,222.2,222.2,222.2,45,1
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-07-05,10:00,53.08,53.08,53.08,53.08,28,1
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2017-07-05,10:00,75.5,75.5,75.5,75.5,250,1
"LU0274211480","DBXD","DB X-TRACK.DAX ETF(DR)1C","ETF","EUR",2504269,2017-07-05,10:00,121.16,121.16,121.16,121.16,16,1
"LU0292106241","DXSN","DB X-TR.SHORTDAX DAILY 1C","ETF","EUR",2504270,2017-07-05,10:00,21.79,21.8,21.79,21.8,133,2
"DE000A0B65S3","PA8","PAION O.N","Common stock","EUR",2504283,2017-07-05,10:00,3.082,3.082,3.082,3.082,150,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2017-07-05,10:00,72.77,72.77,72.77,72.77,16,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-05,10:00,11.83,11.83,11.795,11.83,11651,17
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-05,10:00,124.3,124.3,124.25,124.3,181,5
"DE000A0F5UH1","ISPA","IS.S.GL.SE.D.100 U.ETF A.","ETF","EUR",2504305,2017-07-05,10:00,27.46,27.46,27.43,27.43,402,3
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-05,10:00,32.995,32.995,32.975,32.975,1336,10
"DE000A0JQ5U3","M5Z","MANZ AG","Common stock","EUR",2504345,2017-07-05,10:00,33.46,33.5,33.435,33.5,448,7
"DE000A0L1H32","93M","MPH MITT.PHARMA HLDG","Common stock","EUR",2504383,2017-07-05,10:00,4,4,4,4,1000,1
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2017-07-05,10:00,7.883,7.883,7.883,7.883,432,3
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-05,10:00,28.01,28.01,28.01,28.01,198,1
"DE000A1EWVY8","FYB","FORMYCON AG","Common stock","EUR",2504470,2017-07-05,10:00,36.48,36.48,36.48,36.48,140,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-05,10:00,175.9,175.95,175.75,175.8,2704,26
"DE000A1JF7R7","H4ZU","HSBC MSCI TAIWAN UC.ETFDZ","ETF","EUR",2504483,2017-07-05,10:00,32.36,32.36,32.36,32.36,57,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-05,10:00,4.389,4.389,4.389,4.389,3250,12
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-05,10:00,34.205,34.205,34.19,34.195,1132,6
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-07-05,10:00,63.1,63.1,63.07,63.07,1097,8
"DE000A13SX22","HLE","HELLA KGAA HUECK+CO. O.N.","Common stock","EUR",2504580,2017-07-05,10:00,44.355,44.355,44.33,44.33,91,3
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-05,10:00,82.14,82.15,82.13,82.13,1077,11
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-05,10:00,112.1,112.1,112,112,7682,18
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-05,10:00,10.85,10.855,10.85,10.85,30681,17
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-05,10:00,8.269,8.274,8.264,8.273,29309,25
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-05,10:00,28.55,28.55,28.53,28.535,2294,9
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2017-07-05,10:00,68.19,68.2,68.19,68.19,102,4
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-05,10:00,23.305,23.305,23.3,23.3,762,2
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.","Common stock","EUR",2504814,2017-07-05,10:00,80.11,80.11,80.07,80.07,306,5
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-05,10:00,50.58,50.58,50.57,50.58,470,8
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-05,10:00,36.21,36.21,36.205,36.205,320,3
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2017-07-05,10:00,12.305,12.305,12.3,12.3,899,2
"DE000STRA555","SBS","STRATEC BIOMEDICAL  NA ON","Common stock","EUR",2504851,2017-07-05,10:00,58.77,58.77,58.77,58.77,113,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.","Common stock","EUR",2504852,2017-07-05,10:00,61.65,61.67,61.65,61.66,211,7
"DE000TUAG000","TUI1","TUI AG NA O.N.","Common stock","EUR",2504855,2017-07-05,10:00,12.7,12.7,12.7,12.7,1253,1
"DE000UNSE018","UN01","UNIPER SE  NA O.N.","Common stock","EUR",2504856,2017-07-05,10:00,16.625,16.635,16.62,16.625,1469,5
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-05,10:00,74.3,74.3,74.3,74.3,51,2
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2017-07-05,10:00,40.025,40.025,40.015,40.02,434,7
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2017-07-05,10:00,47.43,47.43,47.415,47.415,235,6
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-05,10:00,16.35,16.355,16.35,16.355,6416,6
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-05,10:00,81.62,81.62,81.6,81.61,1217,20
"DE0005190037","BMW3","BAY.MOTOREN WERKE  VZO","Common stock","EUR",2504901,2017-07-05,10:00,71.92,71.92,71.92,71.92,5,1
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2017-07-05,10:00,91.57,91.57,91.54,91.54,95,4
"DE0005408116","ARL","AAREAL BANK AG","Common stock","EUR",2504927,2017-07-05,10:00,35.28,35.285,35.27,35.285,1000,9
"DE0005437305","COP","COMPUGROUP MED.SE O.N.","Common stock","EUR",2504932,2017-07-05,10:00,51.06,51.06,51.04,51.04,859,4
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-05,10:00,189.2,189.2,189.2,189.2,183,3
"DE0005470405","LXS","LANXESS AG","Common stock","EUR",2504935,2017-07-05,10:00,67.02,67.02,67.02,67.02,49,1
"DE0005488100","ISR","ISRA VISION O.N.","Common stock","EUR",2504937,2017-07-05,10:00,152.2,152.2,152.2,152.2,20,1
"DE0005501357","SPR","A.SPRINGER SE VNA","Common stock","EUR",2504947,2017-07-05,10:00,53.2,53.2,53.19,53.19,383,3
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.","Common stock","EUR",2504953,2017-07-05,10:00,33.48,33.48,33.475,33.475,4745,10
"DE0005557508","DTE","DT.TELEKOM AG NA","Common stock","EUR",2504954,2017-07-05,10:00,15.59,15.59,15.585,15.585,2978,10
