ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-10,13:00,13.84,13.84,13.84,13.84,1199,2
"AT0000785407","FAA","FABASOFT AG","Common stock","EUR",2504178,2017-07-10,13:00,10.745,10.83,10.745,10.83,1000,5
"BE0974293251","1NBA","ANHEUSER-BUSCH INBEV","Common stock","EUR",2504195,2017-07-10,13:00,98.82,98.82,98.82,98.82,25,1
"CH0012005267","NOT","NOVARTIS NAM.     SF 0,50","Common stock","EUR",2504217,2017-07-10,13:00,71.9,71.9,71.9,71.9,1000,2
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I","ETF","EUR",2504271,2017-07-10,13:00,121.7,121.7,121.7,121.7,30,1
"LU0488317024","C002","COMST.-FR DAX UCITS ETF I","ETF","EUR",2504274,2017-07-10,13:00,60.13,60.13,60.13,60.13,315,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2017-07-10,13:00,72.08,72.08,72.08,72.08,98,2
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-10,13:00,127.35,127.35,127.35,127.35,86,1
"DE000A0F5UH1","ISPA","IS.S.GL.SE.D.100 U.ETF A.","ETF","EUR",2504305,2017-07-10,13:00,27.24,27.24,27.24,27.24,200,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-10,13:00,33.095,33.095,33.095,33.095,280,1
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-10,13:00,70.45,70.47,70.45,70.47,149,2
"DE000A0V9L94","BNT1","EYEMAXX R.EST.AG","Common stock","EUR",2504411,2017-07-10,13:00,13.165,13.165,13.16,13.165,691,2
"DE000A0V9X58","4RTE","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504415,2017-07-10,13:00,39.23,39.24,39.23,39.24,574,2
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-10,13:00,6.871,6.879,6.863,6.879,21476,18
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-10,13:00,14.93,14.94,14.93,14.94,159,2
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-10,13:00,27.985,27.985,27.985,27.985,1,1
"DE000A1C22M3","H4ZF","HSBC S+P 500 UCITS ETF DZ","ETF","EUR",2504448,2017-07-10,13:00,21.455,21.455,21.455,21.455,300,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-10,13:00,50.26,50.26,50.26,50.26,247,4
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-10,13:00,174.85,174.85,174.85,174.85,274,4
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-10,13:00,46.325,46.35,46.325,46.35,57,4
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-10,13:00,34.48,34.48,34.475,34.475,2313,7
"DE000A1X3X33","WCMK","WCM BET.GRD.AG  O.N.","Common stock","EUR",2504533,2017-07-10,13:00,3.097,3.097,3.097,3.097,400,1
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-10,13:00,17.915,17.92,17.905,17.905,1098,7
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2017-07-10,13:00,32.63,32.655,32.61,32.64,454,8
"DE000A12UKK6","RKET","ROCKET INTERNET SE","Common stock","EUR",2504560,2017-07-10,13:00,17.465,17.465,17.465,17.465,152,1
"DE000A2BDEC4","4RUD","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504634,2017-07-10,13:00,34.03,34.03,33.98,33.98,2433,2
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-10,13:00,81.38,81.38,81.37,81.37,1664,7
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-10,13:00,110.3,110.3,110.25,110.25,1483,6
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-10,13:00,11.13,11.13,11.13,11.13,4658,7
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-10,13:00,8.372,8.372,8.37,8.372,11397,4
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-10,13:00,28.735,28.75,28.735,28.75,1853,8
