ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-20,07:00,13.9,13.94,13.9,13.94,1571,5
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2017-07-20,07:00,32.25,32.34,32.21,32.21,205,6
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-20,07:00,11.7,11.7,11.7,11.7,1236,2
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-20,07:00,7.606,7.606,7.59,7.59,12469,9
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-20,07:00,28.8,28.83,28.8,28.82,1842,11
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-20,07:00,180.05,180.15,179.7,180.15,4574,36
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-20,07:00,4.519,4.519,4.519,4.519,600,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-20,07:00,34.665,34.68,34.665,34.665,2537,12
"DE000A111338","AM3D","SLM SOLUTIONS GRP AG","Common stock","EUR",2504550,2017-07-20,07:00,38.27,38.27,38.21,38.21,930,7
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-20,07:00,82.29,82.41,82.26,82.41,12368,47
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-20,07:00,111.6,111.6,111.4,111.5,2847,12
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-20,07:00,10.56,10.575,10.555,10.57,103628,38
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-20,07:00,8.597,8.615,8.597,8.606,8825,14
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-20,07:00,33.62,33.7,33.62,33.7,961,4
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-20,07:00,87.9,88.26,87.9,88.19,457,9
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2017-07-20,07:00,50.52,50.53,50.45,50.45,1047,16
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-20,07:00,15.99,16,15.98,15.98,21871,14
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-20,07:00,83.49,83.6,83.45,83.48,2952,18
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2017-07-20,07:00,94.05,94.12,93.89,94.12,2209,11
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2017-07-20,07:00,45.63,45.63,45.63,45.63,40,1
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-20,07:00,197.95,198.25,197.95,198.25,330,7
"DE0005550602","DRW8","DRAEGERWERK ST.A.O.N.","Common stock","EUR",2504951,2017-07-20,07:00,72.93,72.93,72.93,72.93,1,1
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.","Common stock","EUR",2504953,2017-07-20,07:00,33.825,33.95,33.82,33.95,8897,30
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.","Common stock","EUR",2504973,2017-07-20,07:00,75.37,75.37,75.37,75.37,276,4
"DE0005800601","GFT","GFT TECHNOLOGIES SE","Common stock","EUR",2504977,2017-07-20,07:00,14.945,14.945,14.945,14.945,30,1
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2017-07-20,07:00,94.17,94.36,94.17,94.36,136,5
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.","Common stock","EUR",2505002,2017-07-20,07:00,86.29,86.5,86.06,86.38,7338,55
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.","Common stock","EUR",2505003,2017-07-20,07:00,106.45,106.5,106.35,106.35,505,11
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2017-07-20,07:00,121.3,121.3,121.05,121.15,2442,18
"DE0006231004","IFX","INFINEON TECH.AG NA O.N.","Common stock","EUR",2505024,2017-07-20,07:00,19.53,19.545,19.49,19.49,39875,43
"DE0006483001","LIN","LINDE AG O.N.","Common stock","EUR",2505043,2017-07-20,07:00,171.1,171.4,171.05,171.4,1232,21
"DE0006599905","MRK","MERCK KGAA O.N.","Common stock","EUR",2505050,2017-07-20,07:00,100.95,101.1,100.85,101.1,117,6
"DE0006632003","MOR","MORPHOSYS AG O.N.","Common stock","EUR",2505055,2017-07-20,07:00,66.37,66.6,66.37,66.6,130,4
"DE0007037129","RWE","RWE AG ST O.N.","Common stock","EUR",2505072,2017-07-20,07:00,17.78,17.815,17.77,17.81,5100,10
"DE0007100000","DAI","DAIMLER AG NA O.N.","Common stock","EUR",2505076,2017-07-20,07:00,64.31,64.32,64.26,64.26,8535,31
"DE0007164600","SAP","SAP SE O.N.","Common stock","EUR",2505077,2017-07-20,07:00,91.4,91.4,90.61,90.61,12236,62
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.","Common stock","EUR",2505079,2017-07-20,07:00,93.03,93.06,93,93,1093,7
"DE0007236101","SIE","SIEMENS AG NA","Common stock","EUR",2505088,2017-07-20,07:00,117.05,117.15,116.95,117.15,5493,27
"DE0007472060","WDI","WIRECARD AG","Common stock","EUR",2505101,2017-07-20,07:00,64,64.2,64,64.09,271,5
"DE0007500001","TKA","THYSSENKRUPP AG O.N.","Common stock","EUR",2505105,2017-07-20,07:00,26.495,26.635,26.485,26.63,24177,64
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.","Common stock","EUR",2505113,2017-07-20,07:00,146.8,146.8,146.35,146.35,197,8
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.","Common stock","EUR",2505114,2017-07-20,07:00,144,144.1,143.95,144,2448,17
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2017-07-20,07:00,20.96,20.98,20.935,20.975,13044,20
"DE0008404005","ALV","ALLIANZ SE NA O.N.","Common stock","EUR",2505133,2017-07-20,07:00,180,180.15,179.95,180.05,3284,24
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.","Common stock","EUR",2505134,2017-07-20,07:00,181.05,181.35,181.05,181.35,252,2
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-20,07:02,14.015,14.015,14.015,14.015,100,1
"DE000A0B65S3","PA8","PAION O.N","Common stock","EUR",2504283,2017-07-20,07:02,2.963,2.963,2.963,2.963,117,1
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2017-07-20,07:02,103.6,103.6,103.6,103.6,93,2
"DE000A0DPRE6","LNSX","SIXT LEASING O.N.","Common stock","EUR",2504289,2017-07-20,07:02,19.825,19.825,19.825,19.825,5,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-20,07:02,11.725,11.73,11.725,11.725,200,2
"DE000A0ETBQ4","MBB","MBB SE O.N.","Common stock","EUR",2504301,2017-07-20,07:02,93.5,93.62,93.5,93.5,105,2
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.","Common stock","EUR",2504340,2017-07-20,07:02,48.38,48.55,48.015,48.05,7257,55
"DE000A0JQ5U3","M5Z","MANZ AG","Common stock","EUR",2504345,2017-07-20,07:02,34.4,34.4,34.4,34.4,88,1
"DE000A0KFRJ1","T5O","CYTOTOOLS          O.N.","Common stock","EUR",2504351,2017-07-20,07:02,11.77,11.77,11.75,11.77,255,2
"DE000A0LR936","ST5","STEICO SE","Common stock","EUR",2504382,2017-07-20,07:02,21.735,21.735,21.72,21.72,164,5
"DE000A0MSN11","M7U","M-U-T AG MESSGER.INH.O.N.","Common stock","EUR",2504387,2017-07-20,07:02,15.095,15.095,15.095,15.095,200,1
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2017-07-20,07:02,7.604,7.604,7.604,7.604,81,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-20,07:02,7.6,7.64,7.6,7.625,30654,17
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-20,07:02,28.83,28.83,28.83,28.83,99,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-20,07:02,49.8,49.8,49.8,49.8,30,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-20,07:02,180.3,180.4,180.2,180.2,742,15
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-20,07:02,54.1,54.1,54.1,54.1,168,5
"DE000A1H8MU2","ADD","ADLER MODEMAERKTE AG O.N.","Common stock","EUR",2504475,2017-07-20,07:02,5.929,5.929,5.929,5.929,16,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-20,07:02,4.538,4.545,4.538,4.543,9626,9
"DE000A1K0201","GSC1","GESCO AG NA O.N.","Common stock","EUR",2504493,2017-07-20,07:02,25.5,25.5,25.5,25.5,4,1
"DE000A1K0227","CNWK","CO.DON AG   INH. O.N.","Common stock","EUR",2504494,2017-07-20,07:02,8.6,8.649,8.6,8.648,1280,3
"DE000A1K0235","SMHN","SUESS MICROTEC AG NA O.N.","Common stock","EUR",2504495,2017-07-20,07:02,11.88,11.895,11.85,11.895,1406,4
"DE000A1K0300","EUCA","EUROMICRON AG NA O.N.","Common stock","EUR",2504497,2017-07-20,07:02,8.769,8.769,8.769,8.769,11,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-20,07:02,34.695,34.735,34.695,34.735,854,6
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-07-20,07:02,63.59,63.59,63.59,63.59,220,2
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.","Common stock","EUR",2504531,2017-07-20,07:02,10.85,10.85,10.85,10.85,500,3
"DE000A1X3X33","WCMK","WCM BET.GRD.AG  O.N.","Common stock","EUR",2504533,2017-07-20,07:02,3.202,3.202,3.202,3.202,147,1
"DE000A1YCMM2","SWVK","SOLARWORLD AG   O.N.","Common stock","EUR",2504535,2017-07-20,07:02,1.173,1.173,1.173,1.173,8,1
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.","Common stock","EUR",2504547,2017-07-20,07:02,5.29,5.29,5.29,5.29,507,2
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-20,07:02,18.405,18.405,18.405,18.405,5,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2017-07-20,07:02,33.76,33.76,33.675,33.675,129,2
"DE000A12UP37","NC5A","NORCOM INF.TECHN.AG","Common stock","EUR",2504566,2017-07-20,07:02,41.99,41.99,41.755,41.755,260,2
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-20,07:02,35.89,35.905,35.89,35.9,233,5
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-20,07:02,82.58,82.6,82.48,82.48,4343,34
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-20,07:02,111.95,112,111.9,112,4526,19
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-20,07:02,10.56,10.57,10.54,10.545,21333,27
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-20,07:02,8.618,8.618,8.6,8.6,7088,13
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-20,07:02,29.73,29.73,29.705,29.705,853,9
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2017-07-20,07:02,34.74,34.74,34.7,34.7,177,3
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2017-07-20,07:02,68.86,68.9,68.79,68.8,1948,30
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-20,07:02,23.55,23.55,23.55,23.55,8,1
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2017-07-20,07:02,71.79,71.79,71.59,71.59,266,3
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.","Common stock","EUR",2504814,2017-07-20,07:02,81.66,81.66,81.66,81.66,3,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-20,07:02,53.16,53.16,53.16,53.16,36,2
"DE000PAT1AG3","P1Z","PATRIZIA IMMOBILIEN NA ON","Common stock","EUR",2504817,2017-07-20,07:02,15.61,15.71,15.6,15.695,2724,18
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-20,07:02,33.745,33.745,33.72,33.735,3174,15
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2017-07-20,07:02,12.495,12.495,12.495,12.495,527,1
