ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-29,09:00,91.25,91.25,91.25,91.25,5300,2
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:01,35.11,35.11,35.11,35.11,285,1
"DE000ETC0308","X0D2","COMMERZBANK ETC UNL.","ETC","EUR",2506314,2017-06-29,09:02,0.079,0.079,0.079,0.079,1,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:03,35.1,35.1,35.1,35.1,10,1
"DE000ETC0308","X0D2","COMMERZBANK ETC UNL.","ETC","EUR",2506314,2017-06-29,09:03,0.079,0.079,0.079,0.079,75499,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:06,35.09,35.09,35.09,35.09,100,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:09,35.11,35.11,35.11,35.11,258,2
"DE000A2BDEB6","4RT6","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2506304,2017-06-29,09:09,25.96,25.96,25.96,25.96,701,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-29,09:16,91.18,91.18,91.18,91.18,440,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:20,35.11,35.11,35.11,35.11,500,1
"DE000A0KRJ93","OD7S","ETFS COM.SEC.DZ06/UN.WEAT","ETC","EUR",2504368,2017-06-29,09:21,0.647,0.647,0.647,0.647,1000,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:21,35.12,35.12,35.12,35.12,150,1
"DE000A2BDEB6","4RT6","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2506304,2017-06-29,09:21,25.85,25.85,25.85,25.85,700,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:24,35.14,35.14,35.14,35.14,565,1
"DE000ETC0621","X0BC","COMMERZBANK ETC UNL.","ETC","EUR",2504678,2017-06-29,09:30,4.2,4.2,4.2,4.2,300,1
"DE000A0KRJV8","OD7D","ETFS COM.SEC.DZ06/UN.CORN","ETC","EUR",2504360,2017-06-29,09:31,0.834,0.834,0.834,0.834,1000,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:32,35.18,35.18,35.18,35.18,500,1
"DE000A0N62E5","VZLB","ETFS MET.SEC.DZ07/UN.XPD","ETC","EUR",2506198,2017-06-29,09:38,72,72,72,72,30,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-06-29,09:39,91.21,91.21,91.21,91.21,539,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:41,35.16,35.16,35.16,35.16,180,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:46,35.18,35.18,35.18,35.18,300,1
"DE000A1E0HR8","XAD5","DB ETC PLC P GOLD EUR 60","ETC","EUR",2506213,2017-06-29,09:46,107.25,107.25,107.25,107.25,50,1
"DE000A0N62G0","VZLD","ETFS MET.SEC.DZ07/UN.XAU","ETC","EUR",2506200,2017-06-29,09:48,105.04,105.04,105.04,105.04,8,1
"DE000A0KRKM5","OESA","ETFS OIL SEC DZ06/UN.OILB","ETC","EUR",2506280,2017-06-29,09:48,17.58,17.58,17.58,17.58,1130,1
"DE000ETC0142","X0CJ","COMMERZBANK ETC UNL.","ETC","EUR",2506228,2017-06-29,09:49,6.93,6.93,6.93,6.93,400,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:50,35.17,35.17,35.17,35.17,1000,1
"DE000A0V9ZE9","4RUP","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504426,2017-06-29,09:51,5.31,5.31,5.31,5.31,1000,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:52,35.15,35.15,35.15,35.15,845,1
"DE000A2BDEA8","4RUJ","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504633,2017-06-29,09:54,25.86,25.86,25.86,25.86,200,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:54,35.15,35.15,35.15,35.15,830,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:56,35.15,35.15,35.15,35.15,500,1
"DE000A1E0HS6","XAD6","DB ETC PLC P SLVR EUR 60","ETC","EUR",2506214,2017-06-29,09:57,143.37,143.37,143.37,143.37,350,1
"DE000A0S9GB0","4GLD","DT.BOERSE COM. XETRA-GOLD","ETC","EUR",2506202,2017-06-29,09:59,35.15,35.15,35.15,35.15,85,1
